Date,Value
2025-03-17,64.0
2025-03-18,58.0
2025-03-19,60.0
2025-03-20,57.0
2025-03-21,60.0
2025-03-22,55.0
2025-03-23,57.0
2025-03-24,54.0
2025-03-25,57.0
2025-03-26,65.0
2025-03-27,67.0
2025-03-28,69.0
2025-03-29,66.0
2025-03-30,67.0
2025-03-31,69.0
2025-04-01,65.0
2025-04-02,61.0
2025-04-03,64.0
2025-04-04,63.0
2025-04-05,57.0
2025-04-06,53.0
2025-04-07,58.0
2025-04-08,52.0
2025-04-09,63.0
2025-04-10,60.0
2025-04-11,65.0
2025-04-12,55.0
2025-04-13,50.0
2025-04-14,56.0
2025-04-15,55.0
2025-04-16,65.0
2025-04-17,52.0
2025-04-18,55.0
2025-04-19,56.0
2025-04-20,52.0
2025-04-21,63.0
2025-04-22,54.0
